hour,flow_mean_avg,flow_mean_std,flow_mean_min,flow_mean_max,flow_var_avg,occupancy_avg,occupancy_std,occupancy_p50,occupancy_p90,n_frames_lit,dark_fraction,file_count,frac_idle,frac_active,frac_drinking,frac_feeding,frac_preening,frac_perching,frac_wing_flapping
2025-08-05 17:00:00,0.47699728706651484,0.1341522873323102,0.26101869344711304,0.8953142762184143,2.207162120618111,0.08149036530073463,0.019811334131349688,0.08109809027777778,0.10473090277777777,121.0,0.9327030033370411,2,,,,,,,
2025-08-05 18:00:00,,,,,,,,,,,1.0,3,,,,,,,
2025-08-05 19:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-05 20:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-05 21:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-05 22:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-05 23:00:00,,,,,,,,,,,1.0,3,,,,,,,
2025-08-06 00:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-06 01:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-06 02:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-06 03:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-06 04:00:00,,,,,,,,,,,1.0,3,,,,,,,
2025-08-06 05:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-06 06:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-06 07:00:00,0.46563373355633325,0.18010826866042284,0.17026208341121674,1.6483458280563354,2.357311284741478,0.07455749130907341,0.027830272586618205,0.06973524305555556,0.11394184027777778,1674.0,0.06792873051224944,2,,,,,,,
2025-08-06 08:00:00,0.39564227900308707,0.21148878210882502,0.15088608860969543,2.556741237640381,1.985432009789502,0.059237007184041304,0.027407157319456407,0.05444444444444444,0.08843402777777779,1797.0,0.0,2,,,,,,,
2025-08-06 09:00:00,0.3188701187015309,0.1933631308579991,0.12364225089550018,2.2116646766662598,1.482802714198894,0.0431841987803747,0.02868856651428575,0.0362109375,0.07710677083333334,1797.0,0.0,3,,,,,,,
2025-08-06 10:00:00,0.35454150829122144,0.1452148308817739,0.12321024388074875,1.2220401763916016,1.6655486109337427,0.05183020118407222,0.024265221069610123,0.04757378472222222,0.08432552083333335,1797.0,0.0,2,,,,,,,
2025-08-06 11:00:00,0.3094453111365562,0.12145652989986422,0.11960990726947784,1.0381511449813843,1.336516576477585,0.04298697336996847,0.02094992575726439,0.04171440972222222,0.07084809027777778,1797.0,0.0,2,,,,,,,
2025-08-06 12:00:00,0.32725125582734277,0.15495200050246577,0.1185654029250145,1.5778011083602905,1.434080829629317,0.046277935254745564,0.02561405567450968,0.04390190972222222,0.07558940972222222,1797.0,0.0,2,,,,,,,
2025-08-06 13:00:00,0.3113149123501632,0.1113745286184098,0.13787920773029327,1.1984837055206299,1.351050146081644,0.043580758150157675,0.0165263033268384,0.042178819444444446,0.06491579861111112,1797.0,0.0,2,,,,,,,
2025-08-06 14:00:00,0.36089660833876336,0.1834310353101954,0.12007017433643341,2.271162986755371,1.7776976068777282,0.05195335203734619,0.028062788132045827,0.04842013888888889,0.08716666666666667,1797.0,0.0,3,,,,,,,
2025-08-06 15:00:00,0.31416596293150884,0.10085895059617553,0.14057371020317078,0.9537304639816284,1.2734065400306955,0.046584240033543556,0.015481167448491307,0.04473958333333333,0.06755729166666667,1797.0,0.0,2,,,,,,,
2025-08-06 16:00:00,0.3907529596875758,0.11896713503368585,0.15442544221878052,1.0005824565887451,1.7087510326668893,0.06329101260588636,0.01906984214401805,0.06159722222222222,0.08779079861111112,1797.0,0.0,2,,,,,,,
2025-08-06 17:00:00,0.6338775650528837,0.20976760298360753,0.2595793604850769,1.634610891342163,3.3435240346045534,0.10536587465564738,0.02772895659300152,0.10555555555555556,0.1375954861111111,121.0,0.9327030033370411,2,,,,,,,
2025-08-06 18:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-06 19:00:00,,,,,,,,,,,1.0,3,,,,,,,
2025-08-06 20:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-06 21:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-06 22:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-06 23:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-07 00:00:00,,,,,,,,,,,1.0,3,,,,,,,
2025-08-07 01:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-07 02:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-07 03:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-07 04:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-07 05:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-07 06:00:00,,,,,,,,,,,1.0,3,,,,,,,
2025-08-07 07:00:00,0.44985634698635507,0.17965137331560554,0.14089195430278778,1.7027658224105835,2.3314033557671454,0.07001845590921166,0.02726279050164359,0.06633680555555556,0.10639409722222222,1673.0,0.06848552338530067,2,,,,,,,
2025-08-07 08:00:00,0.4081380729567162,0.22109683351934623,0.1287326067686081,2.687290906906128,2.1023967527910346,0.06153551636987572,0.031001172872124744,0.0560546875,0.10106857638888889,1797.0,0.0,2,,,,,,,
2025-08-07 09:00:00,0.3219971649257572,0.12896647914624465,0.11829700320959091,0.8891276121139526,1.4596690095990101,0.04482857833935855,0.02211891813018506,0.041523437499999996,0.07508897569444443,1798.0,0.0,2,,,,,,,
2025-08-07 10:00:00,0.3154630816158614,0.13999211047882862,0.12677806615829468,1.2624530792236328,1.3847255842303094,0.04390496023465035,0.022633471745428187,0.04009982638888889,0.07471440972222224,1797.0,0.0,2,,,,,,,
2025-08-07 11:00:00,0.34502997171374367,0.19895643267045948,0.12133125960826874,2.4936327934265137,1.6620405341927915,0.048265621616709976,0.030080950459488658,0.04427734375,0.08032769097222223,1796.0,0.0,3,,,,,,,
