[scan] probing metadata for 22 folder(s) (ffprobe)...
  [283/1451] videos  (1.8/min, ETA ~634 min, records 388654)
  [284/1451] videos  (1.8/min, ETA ~636 min, records 390157)
  [285/1451] videos  (1.8/min, ETA ~635 min, records 391660)
  [286/1451] videos  (1.8/min, ETA ~632 min, records 393163)
  [287/1451] videos  (1.8/min, ETA ~634 min, records 394666)
  [288/1451] videos  (1.8/min, ETA ~631 min, records 396169)
  [289/1451] videos  (1.8/min, ETA ~628 min, records 397673)
  [290/1451] videos  (1.9/min, ETA ~626 min, records 399177)
  [291/1451] videos  (1.8/min, ETA ~628 min, records 400681)
  [292/1451] videos  (1.9/min, ETA ~626 min, records 402185)
  [293/1451] videos  (1.9/min, ETA ~623 min, records 403689)
  [294/1451] videos  (1.9/min, ETA ~621 min, records 405193)
  [295/1451] videos  (1.9/min, ETA ~623 min, records 406697)
  [296/1451] videos  (1.9/min, ETA ~620 min, records 408201)
  [297/1451] videos  (1.9/min, ETA ~618 min, records 409705)
  [298/1451] videos  (1.9/min, ETA ~615 min, records 411209)
  [299/1451] videos  (1.9/min, ETA ~618 min, records 412713)
  [300/1451] videos  (1.9/min, ETA ~615 min, records 414217)
  [301/1451] videos  (1.9/min, ETA ~613 min, records 415721)
  [302/1451] videos  (1.9/min, ETA ~610 min, records 417225)
  [303/1451] videos  (1.9/min, ETA ~612 min, records 418729)
  [304/1451] videos  (1.9/min, ETA ~609 min, records 420232)
  [305/1451] videos  (1.9/min, ETA ~612 min, records 421735)
  [306/1451] videos  (1.9/min, ETA ~610 min, records 423238)
  [307/1451] videos  (1.9/min, ETA ~610 min, records 424741)
  [308/1451] videos  (1.9/min, ETA ~608 min, records 426244)
  [309/1451] videos  (1.9/min, ETA ~610 min, records 427747)
  [310/1451] videos  (1.9/min, ETA ~608 min, records 429250)
  [311/1451] videos  (1.9/min, ETA ~609 min, records 430753)
  [312/1451] videos  (1.9/min, ETA ~606 min, records 432256)
  [313/1451] videos  (1.9/min, ETA ~609 min, records 433759)
  [314/1451] videos  (1.9/min, ETA ~606 min, records 435262)
  [315/1451] videos  (1.9/min, ETA ~607 min, records 436765)
  [316/1451] videos  (1.9/min, ETA ~605 min, records 438268)
  [317/1451] videos  (1.9/min, ETA ~603 min, records 439772)
  [318/1451] videos  (1.9/min, ETA ~601 min, records 441276)
  [319/1451] videos  (1.9/min, ETA ~602 min, records 442780)
  [320/1451] videos  (1.9/min, ETA ~600 min, records 444284)
  [321/1451] videos  (1.9/min, ETA ~598 min, records 445788)
  [322/1451] videos  (1.9/min, ETA ~596 min, records 447292)
  [323/1451] videos  (1.9/min, ETA ~598 min, records 448796)
  [324/1451] videos  (1.9/min, ETA ~596 min, records 450300)
  [325/1451] videos  (1.9/min, ETA ~593 min, records 451804)
  [326/1451] videos  (1.9/min, ETA ~591 min, records 453308)
  [327/1451] videos  (1.9/min, ETA ~593 min, records 454812)
  [328/1451] videos  (1.9/min, ETA ~591 min, records 456316)
  [329/1451] videos  (1.9/min, ETA ~589 min, records 457820)
  [330/1451] videos  (1.9/min, ETA ~587 min, records 459324)
  [331/1451] videos  (1.9/min, ETA ~588 min, records 460828)
  [332/1451] videos  (1.9/min, ETA ~586 min, records 462332)
  [333/1451] videos  (1.9/min, ETA ~585 min, records 463835)
  [334/1451] videos  (1.9/min, ETA ~586 min, records 465338)
  [335/1451] videos  (1.9/min, ETA ~587 min, records 466841)
  [336/1451] videos  (1.9/min, ETA ~585 min, records 468344)
  [337/1451] videos  (1.9/min, ETA ~584 min, records 469847)
  [338/1451] videos  (1.9/min, ETA ~585 min, records 471350)
  [339/1451] videos  (1.9/min, ETA ~585 min, records 472853)
